alpha,W,delta_ccs_mean,delta_ccs_std,delta_s_mean,delta_s_std,delta_switch_rate,delta_share_100,delta_share_500,delta_share_2000
0.6,3,0.014514625197005415,-0.016372045208426944,0.005220646178093147,0.0017139785429720195,-0.003546099290780147,-0.02349290780141844,0.012115839243498822,0.011377068557919645
0.6,5,0.012426366725768245,-0.015193883834271782,0.0,0.0,-0.008126477541371163,-0.01713947990543735,0.008274231678486996,0.00886524822695034
0.6,7,0.01153139880952403,-0.016071587671907195,-0.002237419790611206,-0.0037211515581378057,-0.011524822695035464,-0.012411347517730487,0.010638297872340427,0.0017730496453900457
0.7,3,0.001566193853427933,-0.0009651357663023052,0.005220646178093147,0.0017139785429720195,0.0014775413711583946,-0.0036938534278959656,0.003546099290780147,0.00014775413711587415
0.7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,7,-0.000671225937183273,-0.0006051858059726856,-0.002237419790611206,-0.0037211515581378057,-0.0025118203309692777,0.0020685579196217385,0.0017730496453900735,-0.0038416075650118398
0.8,3,-0.011382237490149771,0.015496373594126811,0.005220646178093147,0.0017139785429720195,0.003250591016548454,0.02290189125295511,-0.01684397163120567,-0.006057919621749397
0.8,5,-0.012426366725768467,0.016177591018512683,0.0,0.0,0.002511820330969264,0.024674940898345155,-0.01610520094562648,-0.008569739952718702
0.8,7,-0.012873850683890575,0.01580307778143994,-0.002237419790611206,-0.0037211515581378057,0.0002955082742316789,0.027186761229314405,-0.01610520094562648,-0.011081560283687897
