alpha,W,n_windows,ccs_mean,ccs_std,s_mean,s_std,switch_rate,share_100,share_500,share_2000
0.6,3,6768,0.8962061810480693,0.13796234747384775,0.973896769109535,0.09555669142096934,0.07653664302600473,0.22975768321513002,0.10520094562647754,0.6650413711583925
0.6,5,6768,0.8941179225768321,0.13914050884800291,0.9686761229314419,0.09384271287799732,0.07195626477541371,0.2361111111111111,0.10135933806146571,0.6625295508274232
0.6,7,6768,0.8932229546605879,0.1382628050103675,0.9664387031408307,0.09012156131985952,0.06855791962174941,0.24083924349881797,0.10372340425531915,0.6554373522458629
0.7,3,6768,0.8832577497044918,0.1533692569159724,0.973896769109535,0.09555669142096934,0.08156028368794327,0.2495567375886525,0.09663120567375887,0.6538120567375887
0.7,5,6768,0.8816915558510638,0.1543343926822747,0.9686761229314419,0.09384271287799732,0.08008274231678487,0.25325059101654845,0.09308510638297872,0.6536643026004728
0.7,7,6768,0.8810203299138806,0.153729206876302,0.9664387031408307,0.09012156131985952,0.0775709219858156,0.2553191489361702,0.09485815602836879,0.649822695035461
0.8,3,6768,0.8703093183609141,0.1698307662764015,0.973896769109535,0.09555669142096934,0.08333333333333333,0.27615248226950356,0.07624113475177305,0.6476063829787234
0.8,5,6768,0.8692651891252954,0.17051198370078738,0.9686761229314419,0.09384271287799732,0.08259456264775414,0.2779255319148936,0.07697990543735224,0.6450945626477541
0.8,7,6768,0.8688177051671733,0.17013747046371464,0.9664387031408307,0.09012156131985952,0.08037825059101655,0.28043735224586286,0.07697990543735224,0.6425827423167849
