subject_id,alpha,W,n_windows,ccs_mean,ccs_std,s_mean,s_std,switches,switch_rate,share_100,share_500,share_2000
01_ccs,0.6,3,694,0.8579100576368877,0.17561885910212197,0.9567723342939481,0.13529330944444382,79,0.1138328530259366,0.30403458213256485,0.10951008645533142,0.5864553314121037
02_ccs,0.6,3,704,0.8788569981060607,0.14745350200247598,0.9441287878787878,0.15191412905191362,70,0.09943181818181818,0.24147727272727273,0.16193181818181818,0.5965909090909091
03_ccs,0.6,3,698,0.9113524928366763,0.12384231193780385,0.9742120343839542,0.10542612971573354,82,0.1174785100286533,0.17908309455587393,0.12464183381088825,0.6962750716332379
04_ccs,0.6,3,697,0.8947111716881874,0.1485324251777057,0.9780009564801532,0.09695189700185895,55,0.07890961262553801,0.2568149210903874,0.0703012912482066,0.672883787661406
05_ccs,0.6,3,669,0.9354437169905332,0.1017554796202854,0.9920279023418038,0.05708023315045216,42,0.06278026905829596,0.11958146487294469,0.11958146487294469,0.7608370702541106
06_ccs,0.6,3,634,0.9122341430073607,0.12660949847272704,0.9915878023133545,0.05228097957794344,23,0.03627760252365931,0.24290220820189273,0.04100946372239748,0.7160883280757098
07_ccs,0.6,3,670,0.8974406467661692,0.12591831012810914,0.9930348258706468,0.05103808399296382,45,0.06716417910447761,0.23582089552238805,0.12985074626865672,0.6343283582089553
08_ccs,0.6,3,659,0.885672736469398,0.17691725091237057,0.9534648457258473,0.1318815099334975,33,0.05007587253414264,0.23520485584218512,0.05007587253414264,0.7147192716236722
09_ccs,0.6,3,677,0.9122813983259478,0.11975556366752438,0.9950763170851799,0.0402117518249048,29,0.04283604135893648,0.19793205317577547,0.09748892171344166,0.7045790251107829
10_ccs,0.6,3,666,0.87830995995996,0.13168211615203995,0.962962962962963,0.12772082408597862,60,0.09009009009009009,0.28378378378378377,0.14114114114114115,0.575075075075075
01_ccs,0.6,5,694,0.8544518443804033,0.1778771863391739,0.9481268011527377,0.1326550250815729,72,0.1037463976945245,0.30979827089337175,0.11239193083573487,0.5778097982708934
02_ccs,0.6,5,704,0.8743873011363636,0.15209138143724274,0.9329545454545454,0.15464151426406914,58,0.08238636363636363,0.26136363636363635,0.1590909090909091,0.5795454545454546
03_ccs,0.6,5,698,0.9092894555873925,0.12498037537636261,0.9690544412607449,0.10470025390587306,82,0.1174785100286533,0.17478510028653296,0.1346704871060172,0.6905444126074498
04_ccs,0.6,5,697,0.8929512482065998,0.15037620939148832,0.9736011477761836,0.0921157427936106,57,0.08177905308464849,0.26398852223816355,0.058823529411764705,0.6771879483500718
05_ccs,0.6,5,669,0.9348059491778774,0.10034499784448636,0.9904334828101644,0.05039120931334515,41,0.061285500747384154,0.12556053811659193,0.11659192825112108,0.757847533632287
06_ccs,0.6,5,634,0.911561167192429,0.1262962715501549,0.9899053627760253,0.04921135646687697,19,0.02996845425867508,0.2444794952681388,0.031545741324921134,0.7239747634069401
07_ccs,0.6,5,670,0.896883432835821,0.125523397543654,0.9916417910447761,0.04427178660647739,44,0.06567164179104477,0.23880597014925373,0.12388059701492538,0.6373134328358209
