ms,mV,µA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_OFF_v1, trial_index=1, adv_interval_ms=0
2343,3156,19&600,0.1
2353,3280,05%500,0.0
2363,3284,06!000,0.0
2373,3280,05%400,0.0
2383,3284,06$500,0.0
2393,3280,05%500,0.0
2403,3280,06&700,0.0
2413,3280,05&000,0.0
2423,3268,069500,227.1
2433,3280,05&200,0.0
2443,3276,05&000,0.0
2453,3284,06 600,0.0
2463,3280,05%400,0.0
2473,3284,06#000,0.0
2483,3280,05%400,0.0
2493,3280,06&800,0.0
2503,3280,05%700,0.0
2513,3284,06'900,0.0
2523,3240,06#400,0.0
2533,3280,05&400,0.0
2543,3284,058200,191.1
2553,3140,14!300,0.0
2563,3280,06!800,0.0
2573,3280,05%400,0.0
2583,3280,06%800,0.0
2593,3280,05%500,0.0
2603,3284,06&800,0.0
2613,3280,05&000,0.0
2623,3272,07 700,0.0
2633,3280,05'000,0.0
2643,3276,05%600,0.0
2653,3280,06"200,0.0
2663,3280,05%500,0.0
2673,3284,06$200,0.0
2683,3280,05%400,0.0
2693,3280,06&700,0.0
2703,3280,05&000,0.0
2713,3280,069000,226.3
2723,3240,06!900,0.0
2733,3280,05&100,0.0
2743,3284,058700,192.8
2753,3280,05%400,0.0
2763,3128,20$800,0.1
2773,3280,05%500,0.0
2783,3284,06&700,0.0
2793,3280,05%600,0.0
2803,3280,06'700,0.0
2813,3284,05&000,0.0
2823,3276,07!100,0.0
2833,3284,058000,190.5
2843,3276,05%500,0.0
2853,3284,06 500,0.0
2863,3280,05%400,0.0
2873,3284,06%600,0.0
2883,3280,05%400,0.0
2893,3284,06&700,0.0
2903,3280,05&000,0.0
2913,3280,07 200,0.0
2923,3236,06!100,0.0
2933,3276,05%700,0.0
2943,3284,059700,196.1
2953,3280,05%500,0.0
2963,3284,06"100,0.0
2973,3140,14$300,0.0
2983,3280,06&900,0.0
2993,3280,05%900,0.0
3003,3280,068900,226.0
3013,3284,05&100,0.0
3023,3276,07 600,0.0
3033,3280,058900,193.2
3043,3280,05%500,0.0
3053,3284,06!100,0.0
3063,3280,05%500,0.0
3073,3284,06$800,0.0
3083,3080,07'700,0.0
3093,3280,06'400,0.0
3103,3280,05&000,0.0
3113,3280,07 200,0.0
3123,3236,06 800,0.0
3133,3276,05%600,0.0
3143,3284,06 500,0.0
3153,3280,05%500,0.0
3163,3284,06#200,0.0
3173,3280,05%500,0.0
3183,3184,16$000,0.1
3193,3280,05&100,0.0
3203,3280,07 000,0.0
3213,3284,05&500,0.0
3223,3272,08&000,0.0
3233,3284,059500,195.4
3243,3280,05%400,0.0
3253,3280,06"000,0.0
3263,3280,05%400,0.0
3273,3284,06&100,0.0
3283,3280,05%400,0.0
3293,3148,15$600,0.0
3303,3280,05&100,0.0
3313,3280,05&400,0.0
3323,3236,06 700,0.0
3333,3280,05%500,0.0
3343,3284,06 900,0.0
3353,3280,05%400,0.0
3363,3280,06$500,0.0
3373,3280,05%400,0.0
3383,3280,06&700,0.0
3393,3284,05&000,0.0
3403,3144,15&200,0.0
3413,3280,05'600,0.0
3423,3276,08&100,0.0
3433,3284,06 600,0.0
3443,3280,05%400,0.0
3453,3280,06#100,0.0
3463,3280,05%400,0.0
3473,3284,06&800,0.0
3483,3280,05%800,0.0
3493,3280,06'900,0.0
3503,3284,05&100,0.0
3513,3280,05&000,0.0
3523,3236,06 400,0.0
3533,3280,05%500,0.0
3543,3284,06!800,0.0
3553,3280,05%400,0.0
3563,3284,06%900,0.0
3573,3280,055400,181.7
3583,3284,06&900,0.0
3593,3280,05&000,0.0
3603,3284,07 300,0.0
3613,3152,189000,595.7
3623,3276,08%900,0.0
3633,3284,06!100,0.0
3643,3280,05%500,0.0
3653,3284,06$400,0.0
3663,3280,05%400,0.0
3673,3284,06&700,0.0
3683,3280,05&000,0.0
3693,3280,069200,227.0
3703,3280,05&100,0.0
3713,3144,14!500,0.0
3723,3236,06!000,0.0
3733,3280,05%500,0.0
3743,3284,06"900,0.0
3753,3280,05%400,0.0
3763,3284,06&700,0.0
3773,3280,05%700,0.0
3783,3284,06'800,0.0
3793,3280,05&100,0.0
3803,3280,05&400,0.0
3813,3280,058000,190.2
3823,3000,17!200,0.1
3833,3280,06!600,0.0
3843,3284,05%400,0.0
3853,3284,06%600,0.0
3863,3280,05%500,0.0
3873,3284,06&700,0.0
3883,3280,05&000,0.0
3893,3284,07 200,0.0
3903,3280,05&600,0.0
3913,3276,05%800,0.0
3923,3240,06 100,0.0
3933,3008,11&300,0.0
3943,3284,06$100,0.0
3953,3280,05%400,0.0
3963,3284,06&800,0.0
3973,3280,05%900,0.0
3983,3280,068900,226.0
3993,3284,05&100,0.0
4003,3280,05&300,0.0
4013,3280,058600,192.2
4023,3276,08$900,0.0
4033,3148,148600,467.8
4043,3280,05%500,0.0
4053,3284,06&600,0.0
4063,3280,05%700,0.0
4073,3280,06'500,0.0
4083,3284,05&000,0.0
4093,3284,07 200,0.0
4103,3284,05'700,0.0
4113,3276,05%600,0.0
4123,3236,06!200,0.0
4133,3280,05%400,0.0
4143,3160,23!000,0.1
