ms,mV,µA,p_mW
# meta, firmware=TXSD_ModeC2prime_1210, trial_index=auto, adv_interval_ms=0, subject=modeC2prime_1210
2181,3228,56200,181.4
2191,3224,54900,177.0
2201,3228,56400,182.1
2211,3224,54900,177.0
2221,3228,56400,182.1
2231,3228,54900,177.2
2241,3228,56500,182.4
2251,3224,54900,177.0
2261,3228,56500,182.4
2271,3060,152700,467.3
2281,3228,56000,180.8
2291,3228,55500,179.2
2301,3224,55800,179.9
2311,3228,55500,179.2
2321,3228,55200,178.2
2331,3228,56300,181.7
2341,3224,55000,177.3
2351,3228,56400,182.1
2361,3224,54900,177.0
2371,3108,181400,563.8
2381,3224,54900,177.0
2391,3228,56400,182.1
2401,3224,54900,177.0
2411,3228,56500,182.4
2421,3224,54800,176.7
2431,3228,55900,180.4
2441,3228,55500,179.2
2451,3224,55800,179.9
2461,3224,55600,179.3
2471,3224,55100,177.6
2481,3028,100200,303.4
2491,3224,54900,177.0
2501,3228,56400,182.1
2511,3224,54900,177.0
2521,3228,56400,182.1
2531,3224,54900,177.0
2541,3228,56500,182.4
2551,3228,54900,177.2
2561,3228,56400,182.1
2571,3224,54900,177.0
2581,3228,57900,186.9
2591,3224,55600,179.3
2601,3224,55800,179.9
2611,3228,55500,179.2
2621,3224,55100,177.6
2631,3228,56400,182.1
2641,3224,54900,177.0
2651,3228,56400,182.1
2661,3224,54900,177.0
2671,3228,56500,182.4
2681,3224,54900,177.0
2691,3096,144900,448.6
2701,3224,54900,177.0
2711,3228,56300,181.7
2721,3224,55100,177.6
2731,3228,55900,180.4
2741,3228,55500,179.2
2751,3228,55800,180.1
2761,3228,55600,179.5
2771,3224,55000,177.3
2781,3224,56300,181.5
2791,3224,55000,177.3
2801,3100,136400,422.8
2811,3228,54900,177.2
2821,3228,56500,182.4
2831,3224,54900,177.0
2841,3228,56500,182.4
2851,3224,54900,177.0
2861,3228,56400,182.1
2871,3224,55200,178.0
2881,3228,55800,180.1
2891,3224,55500,178.9
2901,3032,134800,408.7
2911,3228,55900,180.4
2921,3224,55000,177.3
2931,3228,56400,182.1
2941,3224,54900,177.0
2951,3228,56500,182.4
2961,3224,54900,177.0
2971,3228,56400,182.1
2981,3224,55000,177.3
2991,3228,56500,182.4
3001,3088,144200,445.3
3011,3228,56200,181.4
3021,3224,55300,178.3
3031,3228,55800,180.1
3041,3224,55500,178.9
3051,3228,55700,179.8
3061,3228,56000,180.8
3071,3224,54900,177.0
3081,3224,56400,181.8
3091,3224,54900,177.0
3101,3228,56500,182.4
3111,3200,55200,176.6
3121,3228,56400,182.1
3131,3224,54900,177.0
3141,3228,56400,182.1
3151,3224,54900,177.0
3161,3228,56200,181.4
