scenario_id,method,env_id,prior_env_id,filter_env_id,switch_env_id,switch_at,actions,actions_used,tau_s,epsilon,reward_mode,cost_unit,constraint_ci,constraint_delta,init_strategy,avg_cost_mean,avg_cost_std,violation_rate_mean,violation_rate_std,violations_first_100_mean,violations_first_100_std,violations_last_100_mean,violations_last_100_std,violations_after_switch_mean,violations_after_switch_std,safe_set_empty_rate_mean,safe_set_empty_rate_std,safe_set_size_mean_mean,safe_set_size_mean_std,distinct_actions_pulled_mean,distinct_actions_pulled_std,pull_100_mean,pull_1000_mean,pull_2000_mean,pull_500_mean,regret_vs_oracle_mean,regret_vs_oracle_std,n_reps
E1_actions_100_500_1000_2000_cold,filter_ucb,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1096.4745925279299,4.998541743675601,0.05771,0.007722844244986639,6.0,2.300636714679067,5.5,2.4924127290882647,,,,,,,3.0,0.0,1.1,997.81,0.0,1.09,2903.677505057696,1016.3702182210328,100
E1_actions_100_500_1000_2000_cold,fixed_ccs,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1093.5709150228722,4.958449996469031,0.05775,0.007716406501275663,6.04,2.3308211584605267,5.5,2.4924127290882647,,,,,,,1.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,100
E1_actions_100_500_1000_2000_cold,oracle,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1093.5709150228722,4.958449996469031,0.05775,0.007716406501275663,6.04,2.3308211584605267,5.5,2.4924127290882647,,,,,,,1.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,100
E1_actions_100_500_1000_2000_cold,safe_ucb,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,3364.3718997443343,45.74493978326367,0.00386,0.001775364523673713,0.43,0.7142842712828139,0.41,0.6976873775321415,,,0.16160481444332997,0.014800519962197889,0.83839518555667,0.014800519962197922,3.0,0.0,998.0,1.0,0.0,1.0,2270800.9847214622,40789.35965071413,100
E1_actions_100_500_1000_2000_cold,ucb,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1082.9007323614067,8.0055832326425,0.33912,0.16875343797470566,32.41,16.049856036359916,33.76,17.360188985611927,,,,,,,4.0,0.0,1.08,262.28,735.61,1.03,-10670.182661465707,8336.33506717092,100
E2_actions_500_1000_2000_cold,filter_ucb,E2_fixed_v01,,,,,"500,1000,2000",500,1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1515.3998368280422,8.436709832082496,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,100
E2_actions_500_1000_2000_cold,fixed_ccs,E2_fixed_v01,,,,,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1093.5709150228722,4.958449996469031,0.11279,0.009993224977680902,11.47,2.999848481022151,10.81,3.237079991085619,,,,,,,1.0,0.0,0.0,1000.0,0.0,0.0,-421828.9218051698,3478.259835613417,100
E2_actions_500_1000_2000_cold,oracle,E2_fixed_v01,,,,,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1515.3998368280422,8.436709832082496,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,100
E2_actions_500_1000_2000_cold,safe_ucb,E2_fixed_v01,,,,,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1515.3998368280422,8.436709832082496,0.0,0.0,0.0,0.0,0.0,0.0,,,0.14914914914914915,0.0,0.8508508508508509,0.0,1.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,100
E2_actions_500_1000_2000_cold,ucb,E2_fixed_v01,,,,,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1078.8024358667174,7.036084903771253,0.48156,0.16131857683578552,46.0,16.941968688151416,47.98,17.038862294262145,,,,,,,3.0,0.0,0.0,165.44,833.46,1.1,-436597.4009613246,8816.021098051326,100
E2_actions_500_1000_2000_tau2_cold,filter_ucb,E2_fixed_v01,,,,,"500,1000,2000","500,1000",2.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1094.06546221833,4.95634994130069,0.04503,0.006417235315220184,4.54,2.114977851688124,4.34,2.19374685242515,,,,,,,2.0,0.0,0.0,998.82,0.0,1.18,494.5471954576671,179.01534339750907,100
E2_actions_500_1000_2000_tau2_cold,fixed_ccs,E2_fixed_v01,,,,,"500,1000,2000","500,1000,2000",2.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1093.5709150228722,4.958449996469031,0.04508,0.006374950980203692,4.59,2.1229624812911077,4.34,2.19374685242515,,,,,,,1.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,100
E2_actions_500_1000_2000_tau2_cold,oracle,E2_fixed_v01,,,,,"500,1000,2000","500,1000,2000",2.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1093.5709150228722,4.958449996469031,0.04508,0.006374950980203692,4.59,2.1229624812911077,4.34,2.19374685242515,,,,,,,1.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,100
E2_actions_500_1000_2000_tau2_cold,safe_ucb,E2_fixed_v01,,,,,"500,1000,2000","500,1000,2000",2.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1514.9701878898363,8.442206130557468,2e-05,0.00014070529413628974,0.02,0.1407052941362897,0.0,0.0,,,0.1492985971943888,0.0,0.8507014028056112,0.0,2.0,0.0,0.0,1.0,0.0,999.0,421399.2728669643,3484.404256950533,100
E2_actions_500_1000_2000_tau2_cold,ucb,E2_fixed_v01,,,,,"500,1000,2000","500,1000,2000",2.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1078.8024358667174,7.036084903771253,0.15661999999999998,0.04961198535544704,14.93,6.035676759021639,15.24,6.073821954199278,,,,,,,3.0,0.0,0.0,165.44,833.46,1.1,-14768.479156154737,6988.759284121223,100
E2_actions_500_1000_2000_warm_in_domain,filter_ucb,E2_fixed_v01,E2_fixed_v01,,,,"500,1000,2000",500,1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1515.3998368280422,8.436709832082496,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,100
E2_actions_500_1000_2000_warm_in_domain,fixed_ccs,E2_fixed_v01,E2_fixed_v01,,,,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1093.5709150228722,4.958449996469031,0.11279,0.009993224977680902,11.47,2.999848481022151,10.81,3.237079991085619,,,,,,,1.0,0.0,0.0,1000.0,0.0,0.0,-421828.9218051698,3478.259835613417,100
E2_actions_500_1000_2000_warm_in_domain,oracle,E2_fixed_v01,E2_fixed_v01,,,,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1515.3998368280422,8.436709832082496,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,100
E2_actions_500_1000_2000_warm_in_domain,safe_ucb_warm,E2_fixed_v01,E2_fixed_v01,,,,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1515.3998368280422,8.436709832082496,0.0,0.0,0.0,0.0,0.0,0.0,,,0.145,0.0,0.855,0.0,3.0,0.0,0.0,5.0,5.0,1005.0,0.0,0.0,100
E2_actions_500_1000_2000_warm_in_domain,ucb,E2_fixed_v01,E2_fixed_v01,,,,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,hoeffding,0.05,safe_seed,1078.8024358667174,7.036084903771253,0.48156,0.16131857683578552,46.0,16.941968688151416,47.98,17.038862294262145,,,,,,,3.0,0.0,0.0,165.44,833.46,1.1,-436597.4009613246,8816.021098051326,100
