ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=3, tag=s4_policy, subject=uccs_d3_scan70
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true preamble_guard=true
2420,3304,56000,185.0
2430,3304,56500,186.7
2440,3304,55200,182.4
2450,3304,56700,187.3
2460,3304,55100,182.1
2470,3304,56700,187.3
2480,3300,55100,181.8
2490,3304,56600,187.0
2500,3304,55100,182.1
2510,3304,56600,187.0
2520,3304,55000,181.7
2530,3304,56700,187.3
2540,3300,55600,183.5
2550,3304,56000,185.0
2560,3304,55800,184.4
2570,3304,56000,185.0
2580,3304,56500,186.7
2590,3304,55200,182.4
2600,3304,56700,187.3
2610,3304,55100,182.1
2620,3300,56600,186.8
2630,3304,55100,182.1
2640,3304,56700,187.3
2650,3304,55100,182.1
2660,3224,139600,450.1
2670,3304,55100,182.1
2680,3304,56700,187.3
2690,3304,55700,184.0
2700,3304,56000,185.0
2710,3304,55700,184.0
2720,3304,56000,185.0
2730,3304,56500,186.7
2740,3304,55200,182.4
2750,3304,56600,187.0
2760,3300,55100,181.8
2770,3304,56600,187.0
2780,3300,55100,181.8
2790,3304,56700,187.3
2800,3304,55200,182.4
2810,3304,56600,187.0
2820,3304,55000,181.7
2830,3304,56600,187.0
2840,3304,55700,184.0
2850,3304,56100,185.4
2860,3304,55700,184.0
2870,3304,56000,185.0
2880,3304,56500,186.7
2890,3304,55300,182.7
2900,3304,56700,187.3
2910,3300,55000,181.5
2920,3304,56600,187.0
2930,3300,55100,181.8
2940,3304,56700,187.3
2950,3300,55100,181.8
2960,3304,56700,187.3
2970,3300,55100,181.8
2980,3304,56700,187.3
2990,3304,55700,184.0
3000,3304,56000,185.0
3010,3304,55700,184.0
3020,3304,56100,185.4
3030,3304,56500,186.7
3040,3300,55200,182.2
3050,3304,56600,187.0
3060,3304,55100,182.1
3070,3304,56700,187.3
3080,3300,55000,181.5
3090,3304,56600,187.0
3100,3300,55100,181.8
3110,3304,56700,187.3
3120,3300,55100,181.8
3130,3296,155300,511.9
3140,3300,55600,183.5
3150,3304,56100,185.4
3160,3224,205600,662.9
3170,3304,56000,185.0
3180,3304,56500,186.7
3190,3300,55200,182.2
3200,3304,56700,187.3
3210,3304,55000,181.7
3220,3304,56600,187.0
3230,3304,55100,182.1
3240,3304,56600,187.0
3250,3300,55100,181.8
3260,3304,56600,187.0
3270,3300,55000,181.5
3280,3304,56700,187.3
3290,3304,55700,184.0
3300,3304,56100,185.4
3310,3304,55700,184.0
3320,3304,56000,185.0
3330,3304,56500,186.7
3340,3300,55200,182.2
3350,3304,56600,187.0
3360,3304,55100,182.1
3370,3304,56600,187.0
3380,3304,55100,182.1
3390,3304,56600,187.0
3400,3300,55100,181.8
3410,3304,56600,187.0
3420,3300,55100,181.8
3430,3304,56600,187.0
3440,3304,55700,184.0
3450,3304,56100,185.4
3460,3300,55700,183.8
3470,3304,56000,185.0
3480,3304,56600,187.0
3490,3300,55200,182.2
3500,3304,56600,187.0
3510,3304,55100,182.1
3520,3304,56700,187.3
3530,3304,55100,182.1
3540,3304,56600,187.0
3550,3304,55100,182.1
3560,3304,56600,187.0
3570,3304,55000,181.7
3580,3304,56600,187.0
3590,3304,55800,184.4
3600,3304,56000,185.0
3610,3304,55700,184.0
3621,3304,55400,183.0
3630,3288,156300,513.9
3640,3304,55200,182.4
3650,3304,56700,187.3
3660,3300,55000,181.5
3670,3304,56600,187.0
3680,3304,55100,182.1
3690,3304,56600,187.0
3700,3304,55100,182.1
3710,3304,56600,187.0
3720,3304,55100,182.1
3730,3304,56700,187.3
3740,3304,55700,184.0
3750,3304,56000,185.0
3760,3304,55700,184.0
3770,3304,56000,185.0
3780,3304,56500,186.7
3790,3304,55200,182.4
3800,3304,56600,187.0
3810,3304,55000,181.7
3820,3304,56600,187.0
3830,3300,55100,181.8
3840,3304,56600,187.0
3850,3304,55100,182.1
3860,3304,56700,187.3
3870,3300,55100,181.8
3880,3304,56600,187.0
3890,3304,55700,184.0
3900,3304,56000,185.0
3910,3304,55700,184.0
3920,3304,56000,185.0
3930,3304,56500,186.7
3940,3304,55200,182.4
3950,3304,56600,187.0
3960,3304,55100,182.1
3970,3304,56600,187.0
3980,3304,55100,182.1
3990,3304,56700,187.3
4000,3304,55100,182.1
4010,3304,56600,187.0
4020,3304,55100,182.1
4030,3304,56600,187.0
4040,3300,55600,183.5
4050,3304,56000,185.0
4060,3304,55700,184.0
4070,3304,56000,185.0
4080,3304,56500,186.7
4090,3304,55100,182.1
4100,3304,56600,187.0
4110,3304,55100,182.1
4120,3304,56600,187.0
4130,3296,78200,257.7
4140,3304,56600,187.0
4150,3304,55000,181.7
4160,3304,56700,187.3
4170,3220,139400,448.9
4180,3304,56600,187.0
4190,3304,55700,184.0
4200,3304,56000,185.0
4210,3304,55700,184.0
4220,3304,56000,185.0
4230,3304,56500,186.7
4240,3304,55200,182.4
4250,3304,56600,187.0
4260,3304,55100,182.1
4270,3304,56700,187.3
4280,3300,55000,181.5
4290,3304,56600,187.0
4300,3300,55000,181.5
4310,3304,56700,187.3
4320,3300,55100,181.8
4330,3304,56600,187.0
4340,3304,55700,184.0
4350,3304,56100,185.4
4360,3304,55700,184.0
4370,3304,56000,185.0
4380,3304,56500,186.7
4390,3304,55200,182.4
4400,3304,56600,187.0
4410,3304,55000,181.7
4420,3304,56700,187.3
4430,3304,55100,182.1
4440,3304,56600,187.0
4450,3300,55100,181.8
4460,3304,56700,187.3
4470,3304,55100,182.1
4480,3304,56600,187.0
4490,3304,55600,183.7
4500,3304,56100,185.4
4510,3304,55700,184.0
4520,3304,56000,185.0
4530,3304,56500,186.7
4540,3304,55200,182.4
4550,3304,56600,187.0
4560,3304,55100,182.1
4570,3304,56600,187.0
4580,3300,55100,181.8
4590,3304,56700,187.3
4600,3304,55100,182.1
4610,3304,56700,187.3
4620,3304,55100,182.1
4630,3304,56700,187.3
4640,3300,55700,183.8
4650,3304,56000,185.0
4660,3300,55700,183.8
4670,3304,56100,185.4
4680,3224,197600,637.1
4690,3304,55200,182.4
4700,3304,56600,187.0
4710,3304,55100,182.1
4720,3304,56700,187.3
4730,3304,55100,182.1
4740,3304,56700,187.3
4750,3304,55100,182.1
4760,3304,56600,187.0
4770,3304,55100,182.1
4780,3304,56700,187.3
4790,3304,55700,184.0
4800,3304,56000,185.0
4810,3304,55700,184.0
4820,3304,56000,185.0
4830,3304,56500,186.7
4840,3300,55100,181.8
4850,3304,56600,187.0
4860,3304,55100,182.1
4870,3304,56600,187.0
4880,3304,55100,182.1
4890,3304,56600,187.0
4900,3304,55000,181.7
4910,3304,56600,187.0
4920,3304,55100,182.1
4930,3304,56600,187.0
4940,3304,55600,183.7
4950,3304,56000,185.0
4960,3304,55700,184.0
4970,3304,56000,185.0
4980,3304,56500,186.7
4990,3304,55200,182.4
5000,3304,56700,187.3
5010,3304,55100,182.1
5020,3304,56600,187.0
5030,3304,55000,181.7
5040,3304,56700,187.3
5050,3300,55100,181.8
5060,3304,56600,187.0
5070,3304,55000,181.7
5080,3304,56700,187.3
5090,3304,55600,183.7
5100,3304,56000,185.0
5110,3304,55700,184.0
5120,3304,56100,185.4
5130,3304,56500,186.7
5140,3304,55100,182.1
5150,3304,56600,187.0
5160,3304,55100,182.1
5170,3304,56600,187.0
5180,3300,55100,181.8
5190,3304,56800,187.7
5200,3304,55100,182.1
5210,3304,56600,187.0
5220,3304,55100,182.1
5230,3304,56700,187.3
5240,3304,55700,184.0
5250,3304,56000,185.0
5260,3304,55700,184.0
5270,3304,56000,185.0
5280,3304,56500,186.7
5290,3300,55200,182.2
5300,3304,56600,187.0
5310,3300,55100,181.8
