ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=4, tag=unk, subject=uccs_d3_scan70
11,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
21,4620,140400,648.6,TXSD_UCCS_D3_SCAN70_v1
31,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
41,4912,57000,280.0,TXSD_UCCS_D3_SCAN70_v1
51,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
61,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
71,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
81,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
91,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
101,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
111,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
121,4912,57000,280.0,TXSD_UCCS_D3_SCAN70_v1
131,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
141,4912,57000,280.0,TXSD_UCCS_D3_SCAN70_v1
151,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
161,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
171,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
181,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
191,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
201,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
211,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
221,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
231,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
241,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
251,4912,57000,280.0,TXSD_UCCS_D3_SCAN70_v1
261,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
271,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
281,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
291,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
301,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
311,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
321,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
331,4912,57000,280.0,TXSD_UCCS_D3_SCAN70_v1
341,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
351,4916,56400,277.3,TXSD_UCCS_D3_SCAN70_v1
361,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
371,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
381,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
391,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
401,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
411,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
421,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
431,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
441,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
451,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
461,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
471,4908,55500,272.4,TXSD_UCCS_D3_SCAN70_v1
481,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
491,4908,55400,271.9,TXSD_UCCS_D3_SCAN70_v1
501,4916,77700,382.0,TXSD_UCCS_D3_SCAN70_v1
511,4688,164700,772.1,TXSD_UCCS_D3_SCAN70_v1
521,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
531,4908,56200,275.8,TXSD_UCCS_D3_SCAN70_v1
541,4912,56600,278.0,TXSD_UCCS_D3_SCAN70_v1
551,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
561,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
571,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
581,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
591,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
601,4912,85800,421.4,TXSD_UCCS_D3_SCAN70_v1
611,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
621,4600,135700,624.2,TXSD_UCCS_D3_SCAN70_v1
631,4912,57000,280.0,TXSD_UCCS_D3_SCAN70_v1
641,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
651,4912,57000,280.0,TXSD_UCCS_D3_SCAN70_v1
661,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
671,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
681,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
691,4912,57000,280.0,TXSD_UCCS_D3_SCAN70_v1
701,4876,69000,336.4,TXSD_UCCS_D3_SCAN70_v1
711,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
721,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
731,4732,56900,269.3,TXSD_UCCS_D3_SCAN70_v1
741,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
751,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
761,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
771,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
781,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
791,4912,55800,274.1,TXSD_UCCS_D3_SCAN70_v1
801,4852,57200,277.5,TXSD_UCCS_D3_SCAN70_v1
811,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
821,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
831,4732,140900,666.7,TXSD_UCCS_D3_SCAN70_v1
841,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
851,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
861,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
871,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
881,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
891,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
901,4916,75100,369.2,TXSD_UCCS_D3_SCAN70_v1
911,4912,55600,273.1,TXSD_UCCS_D3_SCAN70_v1
921,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
932,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
941,4752,191900,911.9,TXSD_UCCS_D3_SCAN70_v1
951,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
961,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
971,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
981,4912,55700,273.6,TXSD_UCCS_D3_SCAN70_v1
991,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
1001,4908,84400,414.2,TXSD_UCCS_D3_SCAN70_v1
1011,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
1021,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
1031,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
1041,4592,137000,629.1,TXSD_UCCS_D3_SCAN70_v1
1051,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
1061,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
1071,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
1081,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
1091,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
1101,4868,64800,315.4,TXSD_UCCS_D3_SCAN70_v1
1111,4916,56500,277.8,TXSD_UCCS_D3_SCAN70_v1
1121,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
1131,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
1141,4736,142900,676.8,TXSD_UCCS_D3_SCAN70_v1
1151,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
1161,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
1171,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
1181,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
1191,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
1201,4916,61100,300.4,TXSD_UCCS_D3_SCAN70_v1
1211,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
1221,4912,57000,280.0,TXSD_UCCS_D3_SCAN70_v1
1231,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
1241,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
1251,4600,136100,626.1,TXSD_UCCS_D3_SCAN70_v1
1261,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
1271,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
1281,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
1291,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
