ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=2, tag=s4_fixed500, subject=uccs_d3_scan70
57191,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57201,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57211,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57221,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57231,4880,57100,278.6,TXSD_UCCS_D3_SCAN70_v1
57241,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
57251,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
57261,4908,56200,275.8,TXSD_UCCS_D3_SCAN70_v1
57271,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
57281,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
57291,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
57301,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57311,4912,55600,273.1,TXSD_UCCS_D3_SCAN70_v1
57321,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
57331,4904,55500,272.2,TXSD_UCCS_D3_SCAN70_v1
57341,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57351,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57361,4576,134700,616.4,TXSD_UCCS_D3_SCAN70_v1
57371,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57381,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
57391,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57401,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
57411,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57421,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57431,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
57441,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
57451,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
57461,4732,142200,672.9,TXSD_UCCS_D3_SCAN70_v1
57471,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
57481,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
57491,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57501,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57511,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57521,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57531,4912,59100,290.3,TXSD_UCCS_D3_SCAN70_v1
57541,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57551,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
57561,4912,55600,273.1,TXSD_UCCS_D3_SCAN70_v1
57571,4740,144000,682.6,TXSD_UCCS_D3_SCAN70_v1
57581,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57591,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57601,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57611,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57621,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
57631,4884,56500,275.9,TXSD_UCCS_D3_SCAN70_v1
