ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=2, tag=s4_fixed500, subject=uccs_d3_scan70
11,4712,140400,661.6,TXSD_UCCS_D3_SCAN70_v1
21,4908,57100,280.2,TXSD_UCCS_D3_SCAN70_v1
31,4904,55500,272.2,TXSD_UCCS_D3_SCAN70_v1
41,4908,57000,279.8,TXSD_UCCS_D3_SCAN70_v1
51,4900,55400,271.5,TXSD_UCCS_D3_SCAN70_v1
61,4908,57100,280.2,TXSD_UCCS_D3_SCAN70_v1
71,4900,55500,272.0,TXSD_UCCS_D3_SCAN70_v1
81,4908,57100,280.2,TXSD_UCCS_D3_SCAN70_v1
91,4900,55400,271.5,TXSD_UCCS_D3_SCAN70_v1
101,4904,57100,280.0,TXSD_UCCS_D3_SCAN70_v1
111,4900,55800,273.4,TXSD_UCCS_D3_SCAN70_v1
121,4708,142600,671.4,TXSD_UCCS_D3_SCAN70_v1
131,4904,56100,275.1,TXSD_UCCS_D3_SCAN70_v1
141,4904,56400,276.6,TXSD_UCCS_D3_SCAN70_v1
151,4904,56100,275.1,TXSD_UCCS_D3_SCAN70_v1
161,4904,56400,276.6,TXSD_UCCS_D3_SCAN70_v1
171,4904,56800,278.5,TXSD_UCCS_D3_SCAN70_v1
181,4904,56200,275.6,TXSD_UCCS_D3_SCAN70_v1
191,4908,57000,279.8,TXSD_UCCS_D3_SCAN70_v1
201,4900,55500,272.0,TXSD_UCCS_D3_SCAN70_v1
211,4908,57000,279.8,TXSD_UCCS_D3_SCAN70_v1
221,4712,140400,661.6,TXSD_UCCS_D3_SCAN70_v1
231,4908,57100,280.2,TXSD_UCCS_D3_SCAN70_v1
241,4904,55400,271.7,TXSD_UCCS_D3_SCAN70_v1
251,4908,57100,280.2,TXSD_UCCS_D3_SCAN70_v1
261,4900,55400,271.5,TXSD_UCCS_D3_SCAN70_v1
271,4904,57000,279.5,TXSD_UCCS_D3_SCAN70_v1
281,4900,55500,272.0,TXSD_UCCS_D3_SCAN70_v1
291,4908,57000,279.8,TXSD_UCCS_D3_SCAN70_v1
301,4904,55400,271.7,TXSD_UCCS_D3_SCAN70_v1
311,4908,57000,279.8,TXSD_UCCS_D3_SCAN70_v1
321,4904,56100,275.1,TXSD_UCCS_D3_SCAN70_v1
331,4568,137900,629.9,TXSD_UCCS_D3_SCAN70_v1
341,4904,56100,275.1,TXSD_UCCS_D3_SCAN70_v1
351,4904,56400,276.6,TXSD_UCCS_D3_SCAN70_v1
361,4904,56100,275.1,TXSD_UCCS_D3_SCAN70_v1
371,4904,56400,276.6,TXSD_UCCS_D3_SCAN70_v1
381,4904,57100,280.0,TXSD_UCCS_D3_SCAN70_v1
391,4904,55400,271.7,TXSD_UCCS_D3_SCAN70_v1
401,4904,57100,280.0,TXSD_UCCS_D3_SCAN70_v1
411,4900,55400,271.5,TXSD_UCCS_D3_SCAN70_v1
421,4904,57100,280.0,TXSD_UCCS_D3_SCAN70_v1
431,4904,55500,272.2,TXSD_UCCS_D3_SCAN70_v1
441,4724,145600,687.8,TXSD_UCCS_D3_SCAN70_v1
451,4900,55400,271.5,TXSD_UCCS_D3_SCAN70_v1
461,4904,57000,279.5,TXSD_UCCS_D3_SCAN70_v1
471,4904,55500,272.2,TXSD_UCCS_D3_SCAN70_v1
481,4904,57000,279.5,TXSD_UCCS_D3_SCAN70_v1
491,4904,55400,271.7,TXSD_UCCS_D3_SCAN70_v1
501,4904,57100,280.0,TXSD_UCCS_D3_SCAN70_v1
511,4904,56100,275.1,TXSD_UCCS_D3_SCAN70_v1
521,4904,56400,276.6,TXSD_UCCS_D3_SCAN70_v1
531,4904,56100,275.1,TXSD_UCCS_D3_SCAN70_v1
541,4904,59000,289.3,TXSD_UCCS_D3_SCAN70_v1
551,4904,56100,275.1,TXSD_UCCS_D3_SCAN70_v1
561,4904,56400,276.6,TXSD_UCCS_D3_SCAN70_v1
571,4904,57000,279.5,TXSD_UCCS_D3_SCAN70_v1
581,4904,55500,272.2,TXSD_UCCS_D3_SCAN70_v1
591,4908,57100,280.2,TXSD_UCCS_D3_SCAN70_v1
601,4904,55400,271.7,TXSD_UCCS_D3_SCAN70_v1
611,4904,57000,279.5,TXSD_UCCS_D3_SCAN70_v1
621,4904,55400,271.7,TXSD_UCCS_D3_SCAN70_v1
631,4908,57000,279.8,TXSD_UCCS_D3_SCAN70_v1
641,4896,56200,275.2,TXSD_UCCS_D3_SCAN70_v1
651,4908,57100,280.2,TXSD_UCCS_D3_SCAN70_v1
661,4904,55500,272.2,TXSD_UCCS_D3_SCAN70_v1
671,4908,57000,279.8,TXSD_UCCS_D3_SCAN70_v1
681,4900,55400,271.5,TXSD_UCCS_D3_SCAN70_v1
691,4904,57000,279.5,TXSD_UCCS_D3_SCAN70_v1
701,4904,55600,272.7,TXSD_UCCS_D3_SCAN70_v1
711,4904,57100,280.0,TXSD_UCCS_D3_SCAN70_v1
721,4904,56000,274.6,TXSD_UCCS_D3_SCAN70_v1
731,4904,56400,276.6,TXSD_UCCS_D3_SCAN70_v1
741,4904,56100,275.1,TXSD_UCCS_D3_SCAN70_v1
751,4712,140700,663.0,TXSD_UCCS_D3_SCAN70_v1
761,4904,56600,277.6,TXSD_UCCS_D3_SCAN70_v1
771,4904,56400,276.6,TXSD_UCCS_D3_SCAN70_v1
781,4904,57100,280.0,TXSD_UCCS_D3_SCAN70_v1
791,4900,55400,271.5,TXSD_UCCS_D3_SCAN70_v1
801,4908,57000,279.8,TXSD_UCCS_D3_SCAN70_v1
811,4900,55400,271.5,TXSD_UCCS_D3_SCAN70_v1
821,4904,57100,280.0,TXSD_UCCS_D3_SCAN70_v1
831,4904,55400,271.7,TXSD_UCCS_D3_SCAN70_v1
841,4908,57000,279.8,TXSD_UCCS_D3_SCAN70_v1
851,4904,55500,272.2,TXSD_UCCS_D3_SCAN70_v1
861,4756,57000,271.1,TXSD_UCCS_D3_SCAN70_v1
871,4900,55400,271.5,TXSD_UCCS_D3_SCAN70_v1
881,4904,57000,279.5,TXSD_UCCS_D3_SCAN70_v1
891,4904,55400,271.7,TXSD_UCCS_D3_SCAN70_v1
901,4904,57000,279.5,TXSD_UCCS_D3_SCAN70_v1
911,4900,56100,274.9,TXSD_UCCS_D3_SCAN70_v1
