ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=4, tag=unk, subject=uccs_d3_scan70
143461,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
143471,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
143481,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
143491,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
143501,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
143511,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
143521,4728,141300,668.1,TXSD_UCCS_D3_SCAN70_v1
143531,4912,57400,281.9,TXSD_UCCS_D3_SCAN70_v1
143541,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
143551,4912,56600,278.0,TXSD_UCCS_D3_SCAN70_v1
143561,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
143571,4908,56700,278.3,TXSD_UCCS_D3_SCAN70_v1
143581,4908,57200,280.7,TXSD_UCCS_D3_SCAN70_v1
143591,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
143601,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
143611,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
143621,4740,140000,663.6,TXSD_UCCS_D3_SCAN70_v1
143631,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
143641,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
143651,4908,55800,273.9,TXSD_UCCS_D3_SCAN70_v1
143661,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
143671,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
143681,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
143691,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
143701,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
143711,4908,56200,275.8,TXSD_UCCS_D3_SCAN70_v1
143721,4912,56600,278.0,TXSD_UCCS_D3_SCAN70_v1
143731,4724,141200,667.0,TXSD_UCCS_D3_SCAN70_v1
143741,4908,56600,277.8,TXSD_UCCS_D3_SCAN70_v1
143751,4908,56400,276.8,TXSD_UCCS_D3_SCAN70_v1
143761,4908,56700,278.3,TXSD_UCCS_D3_SCAN70_v1
143771,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
143781,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
