ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=2, tag=s4_fixed500, subject=uccs_d3_scan70
10,4908,57100,280.2,TXSD_UCCS_D3_SCAN70_v1
20,4904,55600,272.7,TXSD_UCCS_D3_SCAN70_v1
30,4904,57200,280.5,TXSD_UCCS_D3_SCAN70_v1
40,4904,55500,272.2,TXSD_UCCS_D3_SCAN70_v1
50,4908,57200,280.7,TXSD_UCCS_D3_SCAN70_v1
60,4904,55500,272.2,TXSD_UCCS_D3_SCAN70_v1
70,4908,56900,279.3,TXSD_UCCS_D3_SCAN70_v1
80,4904,56100,275.1,TXSD_UCCS_D3_SCAN70_v1
90,4740,133900,634.7,TXSD_UCCS_D3_SCAN70_v1
100,4904,56200,275.6,TXSD_UCCS_D3_SCAN70_v1
110,4904,56500,277.1,TXSD_UCCS_D3_SCAN70_v1
120,4904,56300,276.1,TXSD_UCCS_D3_SCAN70_v1
130,4904,55800,273.6,TXSD_UCCS_D3_SCAN70_v1
140,4904,57100,280.0,TXSD_UCCS_D3_SCAN70_v1
150,4904,55600,272.7,TXSD_UCCS_D3_SCAN70_v1
160,4908,57100,280.2,TXSD_UCCS_D3_SCAN70_v1
170,4904,55600,272.7,TXSD_UCCS_D3_SCAN70_v1
180,4908,57200,280.7,TXSD_UCCS_D3_SCAN70_v1
190,4904,55500,272.2,TXSD_UCCS_D3_SCAN70_v1
200,4564,140400,640.8,TXSD_UCCS_D3_SCAN70_v1
210,4904,55600,272.7,TXSD_UCCS_D3_SCAN70_v1
220,4908,57200,280.7,TXSD_UCCS_D3_SCAN70_v1
230,4904,55600,272.7,TXSD_UCCS_D3_SCAN70_v1
240,4908,57200,280.7,TXSD_UCCS_D3_SCAN70_v1
250,4904,55600,272.7,TXSD_UCCS_D3_SCAN70_v1
260,4908,57100,280.2,TXSD_UCCS_D3_SCAN70_v1
270,4904,55800,273.6,TXSD_UCCS_D3_SCAN70_v1
280,4904,56500,277.1,TXSD_UCCS_D3_SCAN70_v1
290,4904,56200,275.6,TXSD_UCCS_D3_SCAN70_v1
300,4716,145500,686.2,TXSD_UCCS_D3_SCAN70_v1
310,4904,56300,276.1,TXSD_UCCS_D3_SCAN70_v1
320,4904,56100,275.1,TXSD_UCCS_D3_SCAN70_v1
330,4904,57000,279.5,TXSD_UCCS_D3_SCAN70_v1
340,4904,55600,272.7,TXSD_UCCS_D3_SCAN70_v1
350,4908,57100,280.2,TXSD_UCCS_D3_SCAN70_v1
360,4904,55500,272.2,TXSD_UCCS_D3_SCAN70_v1
370,4908,57200,280.7,TXSD_UCCS_D3_SCAN70_v1
380,4904,55600,272.7,TXSD_UCCS_D3_SCAN70_v1
390,4908,57100,280.2,TXSD_UCCS_D3_SCAN70_v1
400,4900,55600,272.4,TXSD_UCCS_D3_SCAN70_v1
410,4720,142600,673.1,TXSD_UCCS_D3_SCAN70_v1
