ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=3, tag=s4_policy, subject=uccs_d3_scan70
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true preamble_guard=true
11,4892,55700,272.5,TXSD_UCCS_D3_SCAN70_v1
20,4900,57300,280.8,TXSD_UCCS_D3_SCAN70_v1
30,4896,55600,272.2,TXSD_UCCS_D3_SCAN70_v1
40,4900,57300,280.8,TXSD_UCCS_D3_SCAN70_v1
50,4896,56300,275.6,TXSD_UCCS_D3_SCAN70_v1
60,4900,56700,277.8,TXSD_UCCS_D3_SCAN70_v1
70,4896,56300,275.6,TXSD_UCCS_D3_SCAN70_v1
80,4900,56600,277.3,TXSD_UCCS_D3_SCAN70_v1
90,4540,141000,640.1,TXSD_UCCS_D3_SCAN70_v1
100,4896,56500,276.6,TXSD_UCCS_D3_SCAN70_v1
110,4900,56800,278.3,TXSD_UCCS_D3_SCAN70_v1
120,4896,55700,272.7,TXSD_UCCS_D3_SCAN70_v1
130,4896,57300,280.5,TXSD_UCCS_D3_SCAN70_v1
140,4896,55700,272.7,TXSD_UCCS_D3_SCAN70_v1
150,4896,57300,280.5,TXSD_UCCS_D3_SCAN70_v1
160,4896,55700,272.7,TXSD_UCCS_D3_SCAN70_v1
170,4900,57300,280.8,TXSD_UCCS_D3_SCAN70_v1
180,4896,55700,272.7,TXSD_UCCS_D3_SCAN70_v1
190,4896,57300,280.5,TXSD_UCCS_D3_SCAN70_v1
200,4896,55700,272.7,TXSD_UCCS_D3_SCAN70_v1
210,4900,57300,280.8,TXSD_UCCS_D3_SCAN70_v1
220,4896,56200,275.2,TXSD_UCCS_D3_SCAN70_v1
230,4900,57100,279.8,TXSD_UCCS_D3_SCAN70_v1
240,4896,56400,276.1,TXSD_UCCS_D3_SCAN70_v1
250,4900,56700,277.8,TXSD_UCCS_D3_SCAN70_v1
260,4896,56300,275.6,TXSD_UCCS_D3_SCAN70_v1
270,4896,56600,277.1,TXSD_UCCS_D3_SCAN70_v1
280,4896,56300,275.6,TXSD_UCCS_D3_SCAN70_v1
290,4896,55700,272.7,TXSD_UCCS_D3_SCAN70_v1
300,4900,57300,280.8,TXSD_UCCS_D3_SCAN70_v1
310,4896,55800,273.2,TXSD_UCCS_D3_SCAN70_v1
320,4900,57300,280.8,TXSD_UCCS_D3_SCAN70_v1
330,4892,55700,272.5,TXSD_UCCS_D3_SCAN70_v1
340,4900,57300,280.8,TXSD_UCCS_D3_SCAN70_v1
350,4896,55800,273.2,TXSD_UCCS_D3_SCAN70_v1
360,4900,57300,280.8,TXSD_UCCS_D3_SCAN70_v1
370,4896,55800,273.2,TXSD_UCCS_D3_SCAN70_v1
380,4896,57300,280.5,TXSD_UCCS_D3_SCAN70_v1
390,4896,55800,273.2,TXSD_UCCS_D3_SCAN70_v1
400,4900,57300,280.8,TXSD_UCCS_D3_SCAN70_v1
410,4896,56400,276.1,TXSD_UCCS_D3_SCAN70_v1
420,4896,56700,277.6,TXSD_UCCS_D3_SCAN70_v1
430,4896,56300,275.6,TXSD_UCCS_D3_SCAN70_v1
440,4896,56700,277.6,TXSD_UCCS_D3_SCAN70_v1
450,4896,56400,276.1,TXSD_UCCS_D3_SCAN70_v1
460,4896,56700,277.6,TXSD_UCCS_D3_SCAN70_v1
470,4900,56600,277.3,TXSD_UCCS_D3_SCAN70_v1
480,4892,55700,272.5,TXSD_UCCS_D3_SCAN70_v1
490,4896,57300,280.5,TXSD_UCCS_D3_SCAN70_v1
500,4896,55700,272.7,TXSD_UCCS_D3_SCAN70_v1
510,4900,57300,280.8,TXSD_UCCS_D3_SCAN70_v1
520,4896,55700,272.7,TXSD_UCCS_D3_SCAN70_v1
530,4900,57300,280.8,TXSD_UCCS_D3_SCAN70_v1
540,4896,55700,272.7,TXSD_UCCS_D3_SCAN70_v1
550,4900,57300,280.8,TXSD_UCCS_D3_SCAN70_v1
560,4892,55800,273.0,TXSD_UCCS_D3_SCAN70_v1
570,4896,57300,280.5,TXSD_UCCS_D3_SCAN70_v1
580,4896,56000,274.2,TXSD_UCCS_D3_SCAN70_v1
590,4680,142600,667.4,TXSD_UCCS_D3_SCAN70_v1
600,4896,56400,276.1,TXSD_UCCS_D3_SCAN70_v1
610,4896,56700,277.6,TXSD_UCCS_D3_SCAN70_v1
620,4896,56300,275.6,TXSD_UCCS_D3_SCAN70_v1
630,4900,56700,277.8,TXSD_UCCS_D3_SCAN70_v1
640,4896,56400,276.1,TXSD_UCCS_D3_SCAN70_v1
650,4896,55900,273.7,TXSD_UCCS_D3_SCAN70_v1
