ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=3, tag=s4_policy, subject=uccs_d3_scan70
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true preamble_guard=true
168681,4912,112200,551.1,TXSD_UCCS_D3_SCAN70_v1
168691,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
168701,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
168711,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
168721,4916,56300,276.8,TXSD_UCCS_D3_SCAN70_v1
168731,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
168741,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
168751,4916,56000,275.3,TXSD_UCCS_D3_SCAN70_v1
168761,4916,56300,276.8,TXSD_UCCS_D3_SCAN70_v1
168771,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
168781,4916,56300,276.8,TXSD_UCCS_D3_SCAN70_v1
168791,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
168801,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
168811,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
168821,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
168831,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
168841,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
168851,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
168861,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
168871,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
168881,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
168891,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
168901,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
168911,4916,56200,276.3,TXSD_UCCS_D3_SCAN70_v1
168921,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
168931,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
168941,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
168951,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
168961,4916,56000,275.3,TXSD_UCCS_D3_SCAN70_v1
168971,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
168981,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
168991,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
169001,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
169011,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
