ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=3, tag=s4_policy, subject=uccs_d3_scan70
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true preamble_guard=true
11,4908,57300,281.2,TXSD_UCCS_D3_SCAN70_v1
21,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
31,4904,56600,277.6,TXSD_UCCS_D3_SCAN70_v1
41,4904,56300,276.1,TXSD_UCCS_D3_SCAN70_v1
51,4904,56600,277.6,TXSD_UCCS_D3_SCAN70_v1
61,4904,56300,276.1,TXSD_UCCS_D3_SCAN70_v1
71,4552,138500,630.5,TXSD_UCCS_D3_SCAN70_v1
81,4904,57000,279.5,TXSD_UCCS_D3_SCAN70_v1
91,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
101,4908,57200,280.7,TXSD_UCCS_D3_SCAN70_v1
111,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
121,4904,57300,281.0,TXSD_UCCS_D3_SCAN70_v1
131,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
141,4908,57300,281.2,TXSD_UCCS_D3_SCAN70_v1
151,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
161,4908,57300,281.2,TXSD_UCCS_D3_SCAN70_v1
171,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
181,4908,57300,281.2,TXSD_UCCS_D3_SCAN70_v1
191,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
201,4908,57200,280.7,TXSD_UCCS_D3_SCAN70_v1
211,4904,56100,275.1,TXSD_UCCS_D3_SCAN70_v1
221,4904,56600,277.6,TXSD_UCCS_D3_SCAN70_v1
231,4904,56300,276.1,TXSD_UCCS_D3_SCAN70_v1
241,4904,56600,277.6,TXSD_UCCS_D3_SCAN70_v1
251,4904,56300,276.1,TXSD_UCCS_D3_SCAN70_v1
261,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
271,4904,57200,280.5,TXSD_UCCS_D3_SCAN70_v1
281,4904,55600,272.7,TXSD_UCCS_D3_SCAN70_v1
291,4908,57300,281.2,TXSD_UCCS_D3_SCAN70_v1
301,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
311,4904,57300,281.0,TXSD_UCCS_D3_SCAN70_v1
321,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
331,4908,57300,281.2,TXSD_UCCS_D3_SCAN70_v1
341,4904,55800,273.6,TXSD_UCCS_D3_SCAN70_v1
351,4908,57200,280.7,TXSD_UCCS_D3_SCAN70_v1
361,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
371,4908,57200,280.7,TXSD_UCCS_D3_SCAN70_v1
381,4904,55600,272.7,TXSD_UCCS_D3_SCAN70_v1
391,4904,56700,278.1,TXSD_UCCS_D3_SCAN70_v1
401,4904,56300,276.1,TXSD_UCCS_D3_SCAN70_v1
411,4904,56600,277.6,TXSD_UCCS_D3_SCAN70_v1
421,4904,56300,276.1,TXSD_UCCS_D3_SCAN70_v1
431,4904,56600,277.6,TXSD_UCCS_D3_SCAN70_v1
441,4904,56300,276.1,TXSD_UCCS_D3_SCAN70_v1
451,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
461,4904,57300,281.0,TXSD_UCCS_D3_SCAN70_v1
471,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
481,4908,57300,281.2,TXSD_UCCS_D3_SCAN70_v1
491,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
501,4908,57200,280.7,TXSD_UCCS_D3_SCAN70_v1
511,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
521,4908,57300,281.2,TXSD_UCCS_D3_SCAN70_v1
531,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
541,4908,57300,281.2,TXSD_UCCS_D3_SCAN70_v1
551,4776,129300,617.5,TXSD_UCCS_D3_SCAN70_v1
561,4552,131200,597.2,TXSD_UCCS_D3_SCAN70_v1
571,4900,55700,272.9,TXSD_UCCS_D3_SCAN70_v1
581,4904,56700,278.1,TXSD_UCCS_D3_SCAN70_v1
591,4904,56300,276.1,TXSD_UCCS_D3_SCAN70_v1
601,4904,56600,277.6,TXSD_UCCS_D3_SCAN70_v1
611,4904,56400,276.6,TXSD_UCCS_D3_SCAN70_v1
621,4904,56600,277.6,TXSD_UCCS_D3_SCAN70_v1
631,4900,56500,276.9,TXSD_UCCS_D3_SCAN70_v1
641,4904,55700,273.2,TXSD_UCCS_D3_SCAN70_v1
651,4908,57300,281.2,TXSD_UCCS_D3_SCAN70_v1
