ms,mV,µA,p_mW
# meta, firmware=TXSD_1201, trial_index=auto, adv_interval_ms=0
2510,3284,54800,180.0
2520,3284,56200,184.6
2530,3280,54600,179.1
2540,3284,56200,184.6
2550,3280,54600,179.1
2560,3284,56200,184.6
2570,3280,54600,179.1
2580,3284,56200,184.6
2590,3284,54600,179.3
2600,3148,153600,483.5
2610,3284,55200,181.3
2620,3284,55600,182.6
2630,3284,55300,181.6
2640,3284,55600,182.6
2650,3284,56100,184.2
2660,3284,54700,179.6
2670,3284,56200,184.6
2680,3280,54700,179.4
2690,3284,56200,184.6
2700,3140,155600,488.6
2710,3284,56200,184.6
2720,3284,54600,179.3
2730,3284,56100,184.2
2740,3284,54900,180.3
2750,3284,55500,182.3
2760,3284,55300,181.6
2770,3284,55600,182.6
2780,3284,55600,182.6
2790,3284,55300,181.6
2800,3168,177900,563.6
2810,3284,54700,179.6
2820,3284,56100,184.2
2830,3284,54700,179.6
2840,3284,56200,184.6
2850,3280,54600,179.1
2860,3284,56200,184.6
2870,3280,54700,179.4
2880,3284,55900,183.6
2890,3284,55100,180.9
2900,3272,160300,524.5
2910,3284,55300,181.6
2920,3284,55500,182.3
2930,3284,55900,183.6
2940,3284,54900,180.3
2950,3284,56200,184.6
2960,3284,54600,179.3
2970,3284,56200,184.6
2980,3280,54800,179.7
2990,3284,56100,184.2
3000,3284,54700,179.6
3010,3284,143600,471.6
3020,3284,54600,179.3
3030,3284,55700,182.9
3040,3284,55200,181.3
3050,3284,55500,182.3
3060,3284,55200,181.3
3070,3284,55600,182.6
3080,3284,56100,184.2
3090,3280,54700,179.4
3100,3284,56100,184.2
3110,3284,54700,179.6
3120,3180,153000,486.5
3130,3280,54600,179.1
3140,3284,56200,184.6
3150,3280,54700,179.4
3160,3284,56100,184.2
3170,3284,54700,179.6
3180,3284,55600,182.6
3190,3284,55300,181.6
3200,3284,55500,182.3
3210,3284,55400,181.9
3220,3280,55500,182.0
3230,3180,131600,418.5
3240,3280,54700,179.4
3250,3284,56200,184.6
3260,3280,54600,179.1
3270,3284,56300,184.9
3280,3284,54800,180.0
3290,3284,56200,184.6
3300,3280,54700,179.4
3310,3284,56000,183.9
3320,3280,55000,180.4
3330,3284,55500,182.3
3340,3136,135100,423.7
3350,3284,55600,182.6
3360,3284,55800,183.2
3370,3284,55100,180.9
3380,3284,56200,184.6
3390,3284,54600,179.3
3400,3284,56200,184.6
3410,3284,54600,179.3
3420,3284,56200,184.6
3430,3284,54700,179.6
3440,3168,141900,449.5
3450,3284,54600,179.3
3460,3284,55700,182.9
3470,3280,55200,181.1
3480,3284,55500,182.3
3490,3284,55200,181.3
3500,3284,55500,182.3
3510,3284,56100,184.2
3520,3280,54800,179.7
3530,3284,56200,184.6
3540,3284,56800,186.5
3550,3284,56200,184.6
3560,3280,54600,179.1
3570,3284,56200,184.6
3580,3280,54800,179.7
3590,3284,56200,184.6
3600,3280,54700,179.4
3610,3284,55600,182.6
3620,3284,55200,181.3
3630,3284,55600,182.6
3640,3284,55300,181.6
3650,3168,141100,447.0
3660,3284,56100,184.2
3670,3280,54600,179.1
3680,3284,56300,184.9
3690,3280,54600,179.1
3700,3284,56200,184.6
3710,3280,54700,179.4
3720,3284,56200,184.6
3730,3284,54600,179.3
3740,3284,56100,184.2
3750,3280,56600,185.6
3760,3284,55600,182.6
3770,3284,55300,181.6
3780,3284,55800,183.2
3790,3284,55500,182.3
3800,3284,55300,181.6
3810,3284,56200,184.6
3820,3280,54600,179.1
3830,3284,56100,184.2
3840,3284,54600,179.3
3850,3284,56300,184.9
3860,3116,136800,426.3
3870,3284,56200,184.6
3880,3280,54700,179.4
3890,3284,55800,183.2
3900,3280,55200,181.1
3910,3284,55600,182.6
3920,3284,55200,181.3
3930,3284,55500,182.3
3940,3284,55900,183.6
3950,3284,54900,180.3
3960,3180,134300,427.1
3970,3284,54700,179.6
3980,3284,56200,184.6
3990,3284,54700,179.6
4000,3284,56100,184.2
4010,3284,54700,179.6
4020,3284,56200,184.6
4030,3284,54600,179.3
4040,3284,55700,182.9
4050,3284,55300,181.6
4060,3156,162900,514.1
4070,3284,55300,181.6
4080,3284,55800,183.2
4090,3284,56100,184.2
4100,3284,54800,180.0
4110,3284,56200,184.6
4120,3284,54700,179.6
4130,3284,56200,184.6
4140,3284,54700,179.6
4150,3284,56200,184.6
4160,3280,54600,179.1
4170,3284,56400,185.2
4180,3284,54900,180.3
4190,3284,55600,182.6
4200,3284,55200,181.3
4210,3284,55500,182.3
4220,3284,55400,181.9
4230,3284,55400,181.9
4240,3284,56200,184.6
4250,3284,54600,179.3
4260,3284,56200,184.6
4270,3124,134400,419.9
4280,3284,56200,184.6
4290,3280,54700,179.4
4300,3284,56200,184.6
4310,3284,54700,179.6
4320,3284,56000,183.9
4330,3280,55100,180.7
4340,3284,55600,182.6
4350,3284,55200,181.3
4360,3284,55600,182.6
4370,3284,55800,183.2
4380,3188,182900,583.1
4390,3284,56100,184.2
4400,3280,54700,179.4
4410,3284,56200,184.6
4420,3284,54700,179.6
4430,3284,56200,184.6
4440,3284,54700,179.6
4450,3284,56200,184.6
4460,3284,54600,179.3
4470,3284,55700,182.9
4480,3168,141900,449.5
4490,3284,55800,183.2
4500,3280,55200,181.1
4510,3284,55600,182.6
4520,3284,56000,183.9
4530,3284,54800,180.0
4540,3284,56200,184.6
4550,3280,54600,179.1
4560,3284,56200,184.6
4570,3284,54600,179.3
4580,3284,56200,184.6
4590,3176,134500,427.2
4600,3284,56200,184.6
4610,3284,54600,179.3
4620,3284,55700,182.9
4630,3284,55300,181.6
4640,3284,55500,182.3
4650,3284,55300,181.6
4660,3284,55600,182.6
4670,3284,56100,184.2
4680,3252,54900,178.5
4690,3160,143000,451.9
4700,3284,54700,179.6
4710,3284,56200,184.6
4720,3284,54600,179.3
4730,3284,56200,184.6
4740,3280,54600,179.1
4750,3284,56100,184.2
4760,3280,54900,180.1
4770,3284,55600,182.6
4780,3284,55300,181.6
4790,3284,55500,182.3
4800,3168,160800,509.4
4810,3284,55200,181.3
4820,3284,56200,184.6
4830,3280,54700,179.4
4840,3284,56200,184.6
4850,3284,54700,179.6
4860,3284,56100,184.2
4870,3280,54600,179.1
4880,3284,56200,184.6
4890,3284,54700,179.6
4900,3284,146900,482.4
4910,3284,55200,181.3
4920,3284,55600,182.6
4930,3284,55300,181.6
4940,3280,55600,182.4
4950,3284,56000,183.9
4960,3280,54900,180.1
4970,3288,56200,184.8
4980,3260,54800,178.6
4990,3284,56200,184.6
